--- Events ---
LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
73m         Normal    ComponentUnhealthy    clusterserviceversion/openshift-gitops-operator.v1.20.3              installing: deployment changed old hash=9dqogK5esbgOqnGMc38hYuEid9VPVtrmrPaQQw, new hash=1U24ja6Z5DLBiSOmMK8UbNN1YXWX9xXD64TNd3
73m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-757f6ff866   Created pod: openshift-gitops-operator-controller-manager-757f6ff866-8bv8x
73m         Normal    ScalingReplicaSet     deployment/openshift-gitops-operator-controller-manager              Scaled up replica set openshift-gitops-operator-controller-manager-757f6ff866 from 0 to 1
73m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
73m         Normal    Started               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Started container manager
73m         Normal    Created               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Created container: manager
73m         Normal    Started               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Started container kube-rbac-proxy
73m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
73m         Normal    Created               pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Created container: kube-rbac-proxy
73m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Add eth0 [10.133.0.25/23] from ovn-kubernetes
73m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Stopping container manager
73m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Stopping container kube-rbac-proxy
73m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Deleted pod: openshift-gitops-operator-controller-manager-fc7df578-mdm7t
72m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-757f6ff866-8bv8x_fd8d7790-360e-4018-8771-0cdd933f67ef became leader
72m         Normal    ComponentUnhealthy    clusterserviceversion/openshift-gitops-operator.v1.20.3              installing: deployment changed old hash=1U24ja6Z5DLBiSOmMK8UbNN1YXWX9xXD64TNd3, new hash=9dqogK5esbgOqnGMc38hYuEid9VPVtrmrPaQQw
72m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Created pod: openshift-gitops-operator-controller-manager-fc7df578-xbq5d
72m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Started container kube-rbac-proxy
72m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
